emp_no,first_name,last_name,title,from_date,salary
43969,Sajjad,Benzmuller,Technique Leader,2/2/1985,40000
103490,Claudi,Kropatsch,Senior Engineer,2/2/1985,40000
204237,Gay,Kumaresan,Senior Staff,2/2/1985,82183
430238,Mariusz,Vuskovic,Senior Engineer,2/2/1985,64479
38336,Chaoyi,Basart,Senior Staff,2/3/1985,66319
64398,Nectarios,Perna,Senior Staff,2/3/1985,71024
268902,Arup,Krohm,Senior Staff,2/3/1985,56509
283071,Limsoon,Yeung,Senior Engineer,2/3/1985,50491
98604,Tremaine,Reeken,Engineer,2/4/1985,40000
218740,Lech,Linnainmaa,Staff,2/4/1985,64799
229118,Yucel,Ranft,Senior Engineer,2/4/1985,40000
447267,Kokou,Strehl,Staff,2/4/1985,90174
477937,Jessie,Koblitz,Engineer,2/4/1985,40000
101078,Fusako,Zedlitz,Senior Engineer,2/5/1985,42440
200030,LiMin,Schonegge,Senior Engineer,2/5/1985,63520
240696,Boutros,Velardi,Senior Staff,2/5/1985,60385
426425,Weidon,Sidou,Technique Leader,2/5/1985,62946
13684,Elvia,Christ,Senior Staff,2/6/1985,79100
81104,Marc,Grabner,Technique Leader,2/6/1985,40000
281268,Yinlin,Assaf,Senior Staff,2/6/1985,61897
286832,Dharmaraja,Sadowsky,Senior Staff,2/6/1985,40000
202669,Percy,Chiodo,Technique Leader,2/7/1985,42616
281483,Cathie,Wossner,Senior Engineer,2/7/1985,42825
471678,Babette,Koshiba,Senior Engineer,2/7/1985,54882
86155,Tadahiko,Luke,Technique Leader,2/8/1985,48156
201333,Mircea,Perl,Senior Engineer,2/8/1985,47424
263209,Howell,Schieder,Senior Engineer,2/8/1985,40000
430519,Vojin,Lanteri,Senior Engineer,2/8/1985,40000
108477,Fox,Heering,Staff,2/9/1985,40000
225254,Sanjoy,Tzvieli,Senior Staff,2/9/1985,78234
232968,Duri,Genther,Engineer,2/9/1985,47505
293576,Munehiro,Kragelund,Senior Engineer,2/9/1985,59840
404359,Gretta,Krohn,Senior Engineer,2/9/1985,40000
431701,Maya,Baca,Technique Leader,2/9/1985,45392
435667,Kendra,Dusink,Staff,2/9/1985,40000
51086,Mohit,Rosch,Engineer,2/10/1985,48047
85470,Domenick,Mahmud,Technique Leader,2/10/1985,40432
205119,Chrisa,Kilgore,Senior Engineer,2/10/1985,58993
22441,Angus,Neiman,Senior Engineer,2/11/1985,64361
87671,Oldrich,Kandlur,Senior Staff,2/11/1985,50672
229673,Saniya,Tomescu,Senior Engineer,2/11/1985,72847
288406,Wayne,Nannarelli,Technique Leader,2/11/1985,75570
444426,Tristan,Perry,Senior Engineer,2/11/1985,47062
486307,Mart,Ruemmler,Senior Engineer,2/11/1985,58066
39082,Ortrun,Encarnacion,Senior Engineer,2/12/1985,50270
209998,Shaunak,Comellas,Engineer,2/12/1985,40000
404171,Richara,Berstel,Senior Staff,2/12/1985,67856
459532,Bouchung,Cusworth,Engineer,2/12/1985,40000
467309,Krassimir,Raczkowsky,Technique Leader,2/12/1985,79945
27009,Yakichi,Oehlmann,Technique Leader,2/13/1985,40000
45827,Ortrun,Schonegge,Technique Leader,2/13/1985,40000
101033,Zhiwei,Clemencon,Senior Staff,2/13/1985,64916
278806,Kwee,Erdmenger,Senior Engineer,2/13/1985,52820
400855,Szabolcs,Wilharm,Senior Engineer,2/14/1985,59554
412105,Teiji,Siksek,Senior Staff,2/14/1985,68574
105421,Sadun,Schrooten,Senior Staff,2/15/1985,40000
298966,Renee,Honiden,Technique Leader,2/15/1985,57866
400696,Lillian,Orlowska,Technique Leader,2/15/1985,48713
106824,Kokou,Atchley,Senior Engineer,2/16/1985,53706
107816,Xinyu,Validov,Senior Engineer,2/16/1985,42366
220671,Ult,Birta,Senior Engineer,2/16/1985,52184
220907,Pramod,McClure,Staff,2/16/1985,50413
461313,Mohamadou,Khamsi,Senior Engineer,2/16/1985,43019
22894,Muzhong,Casley,Senior Staff,2/17/1985,76090
40147,Padma,Gaughan,Senior Staff,2/17/1985,40000
51520,Goh,Bierman,Senior Staff,2/17/1985,67629
64228,Kousuke,Czaja,Staff,2/17/1985,70331
99845,Ebru,Matheson,Engineer,2/17/1985,40000
487121,Duangkaew,Litecky,Senior Staff,2/17/1985,42862
41666,Xiaoqiang,Eugenio,Staff,2/18/1985,41087
65752,Pasqua,Schreiter,Senior Engineer,2/18/1985,43286
426119,Karsten,Herbst,Senior Staff,2/18/1985,58963
18316,Hongzue,Msuda,Senior Engineer,2/19/1985,54186
98233,Hausi,Trogemann,Senior Staff,2/19/1985,45438
203189,Peternela,Rusterholz,Senior Staff,2/19/1985,57671
238537,Tomofumi,Bellone,Senior Engineer,2/19/1985,50604
